Name	AveExpr	t	logFC	P.Value	Adj pval	B
GSTM1	5.716049266644306	3.4614067180637296	2.971951126497676	8.75072550994012e-4	0.24518186613389148	-0.7400598077353102
F8A2	1.8891257367797512	3.116963311107211	2.4114730766377144	0.0025587536685066086	0.33014316516706205	-1.6075244696187898
FBN2	3.4832698547265073	5.192787155151296	2.2055157070472977	1.6087555015299703e-6	0.01464932759693191	4.430528204369191
GPR64	3.091779353438336	4.2755453456935	1.6613585861419118	5.351981421306897e-5	0.06962163260345801	1.546049139443915
PNOC	1.5281575096214028	3.3897620653647054	1.637104020121065	0.0011001886036542021	0.2578108354357397	-0.9258474305464999
SYT5	1.8604067253063847	3.3007013875800872	1.5843900103113158	0.0014563157156124882	0.27918338750246985	-1.1529483189183223
NPIPB15	4.127401863192604	2.7442742172086922	1.5628794412071576	0.007523606238676682	0.4102392719125142	-2.468291686981228
PNMA6A	1.1719295205395817	2.9728931821880313	1.5544473263763379	0.003923358906265565	0.36270158579141354	-1.950290064081552
MYH3	4.233068832518398	4.726104676385125	1.5429041127744454	9.968746275441222e-6	0.027805163359583406	2.9289640685150538
IGLL5	4.250437733929787	2.410533704651597	1.431511367605041	0.01828445823086881	0.4689427117329949	-3.1639568713242965
NIPAL4	1.6543946639059908	3.3699622939553557	1.4297059631920348	0.0011714314902067165	0.2601720768249356	-0.9767082430007861
COMP	2.3847229866431987	2.7897798170733616	1.4147509303202308	0.006627054716218239	0.4050064446032435	-2.3677918801803637
FCGBP	3.6906917118102576	3.837587424009291	1.4059092077047008	2.510104363503126e-4	0.17422633444816296	0.2783023405639877
MUC4	2.5629494121686593	2.8582917406805155	1.3758201882715386	0.005460632615348785	0.37651492762542577	-2.214015856247737
SFRP2	4.137014952965094	2.6668956680039897	1.3547751130744201	0.009305914285579807	0.43261149097333895	-2.6361343699709794
SOX30	1.4206241837147917	4.390486731622198	1.3264643463956836	3.512435603014532e-5	0.06396847720210065	1.8923416229544268
GSTM3	7.221309617995282	4.8591725286472	1.292621457138992	5.973905715028408e-6	0.02231455050942328	3.350591381268522
ESPNL	3.613962125999566	3.322871782436655	1.2909036049690945	0.0013587104702671548	0.27494261205006026	-1.0968192082375268
CRYBB2	2.1865454440865664	3.5370428341333957	1.2417882632245592	6.849934705412426e-4	0.2188614225525809	-0.5409666391334458
PCP4	6.785236851753053	2.606495111911703	1.2295821659396093	0.010955235348801296	0.4414087304698434	-2.764442535014326
PLA2G2D	1.336248663141332	2.760938192398077	1.2277116705213156	0.007183158899613975	0.4102392719125142	-2.4316420008585107
RP11-571M6.15	1.9273030060928724	2.4444351668007465	1.216894478930704	0.01676562356726621	0.46589455212309633	-3.096704224784065
ACTC1	4.152905515444463	2.6027516550362	1.2137524703874996	0.01106568645335496	0.44194798615899233	-2.7723157373832
NLGN4X	4.1405712381983175	2.8901592442818806	1.2083485921397017	0.0049852139182902	0.3711718031566699	-2.141490869147515
PENK	3.3444829881612663	2.1660504424417377	1.2080772656022751	0.03336369163175316	0.5152519910599214	-3.625145606156425
KRT9	0.9569163204088652	3.1180867454949035	1.205821247782654	0.0025501101270372826	0.33014316516706205	-1.6048036311980063
CD3D	4.64597750277213	3.30836598721555	1.1994673674815282	0.0014218504645192394	0.2754759644662169	-1.1335743066578274
DMRT3	1.570661682225802	3.086326503096292	1.1627406866624803	0.002805262258343865	0.33014316516706205	-1.6814400942986025
