Name	AveExpr	t	logFC	P.Value	Adj pval	B
F8A2	2.29814306347997	9.887456396291897	2.426328876554198	5.2579186408303236e-21	4.7878607143400924e-17	36.05316342665996
NPIPB15	4.128417392523352	7.358268855758063	1.426804059839795	8.813037655022525e-13	2.0062880221658777e-9	18.27993917225509
F8A3	4.278825067666024	7.26690569218115	1.3354533106265554	1.619344772350597e-12	2.9491506994049074e-9	17.710426517451562
GSTM1	4.30156513796444	4.648314867840495	1.196999071987161	4.394253016233718e-6	0.001096275834680116	3.9444991648164214
CCL3L3	2.115617132940068	5.686610750562351	0.9774903343440959	2.324614578258069e-8	1.4111960233078653e-5	8.783152008295904
CRYBB2	1.7337031538380048	8.978655382694857	0.9364850541276071	7.34633349516108e-18	3.34478564034684e-14	29.250008876433753
CTB-134H23.2	1.3320816620124973	7.850879002111592	0.9239699259135881	3.006869721674717e-14	9.126851895189992e-11	21.444792802111312
IHH	4.045705128417241	4.134874917312615	0.8267182196636789	4.2321584532026233e-5	0.004909303805715043	1.8768383683727565
C4BPA	2.6867850868181247	4.207804731476144	0.785137525587845	3.1095280243950326e-5	0.0039055671986401607	2.157025822473215
HPR	1.0820072382713308	5.564602235748288	0.7677778710743475	4.50058788234361e-8	2.483778985249752e-5	8.170464385965229
MRAP2	3.2155749157816946	5.44554728510732	0.7243626208339013	8.479086128068678e-8	4.1735436909293716e-5	7.58369241493289
TBC1D3C	3.7460695568353932	5.8091324182310755	0.7154250675903802	1.1833595546123026e-8	7.981979336518241e-6	9.409964222366444
WDR72	4.090007180659334	4.828847733400613	0.6966419182259762	1.8807238811068036e-6	5.615039888970018e-4	4.7236347160491094
RAB25	5.974322030518061	3.5977105616059144	0.6619936478793935	3.5635081668454157e-4	0.02060887732717435	-0.0460268648717399
TUBA3E	0.5962734214336525	6.469602435481811	0.6417628064025602	2.550155490553601e-10	2.9027144871226363e-7	12.982342499555468
FAM3B	3.9150405886870647	3.6429910213254835	0.638910533699141	3.0061987816585727e-4	0.018355637314107092	0.10640842694678732
TUBB8	1.4029770082538418	6.622641650469091	0.6339109346679284	1.0004437059057617e-10	1.301434340853981e-7	13.855511549661415
