Name	Mean(log(colon_black))	Mean(log(colon_white))	logFC	M-W U test pval	Adj pval
FAM21B	5.343838098517986	6.927557796866453	-1.5837196983484674	1.734420311857443E-4	0.03899662064141698
MARCO	5.138421831709612	6.650100419681569	-1.5116785879719563	8.510708692772706E-4	0.10830942099546359
SPATC1L	6.109017501998988	7.595694277214827	-1.4866767752158392	4.443241125307029E-5	0.014712783158925748
RGPD1	2.661856609461072	4.08960929660938	-1.427752687148308	3.3652372866121993E-7	5.571609223980126E-4
MINOS1-NBL1	5.40049578006077	6.757844356586469	-1.3573485765256992	0.003158113948593333	0.21067974810176476
AL354718.1	1.4631626057297096	2.712073491075367	-1.2489108853456576	0.008855801697411625	0.33811710799425687
SLC44A5	2.77943295465925	4.0200383340916535	-1.2406053794324032	7.995118117809508E-5	0.023485014703475283
CCDC144A	2.1211657432393944	3.347499520327918	-1.2263337770885236	2.0073329181080624E-6	0.001589458569764523
GSTT1	8.406601943113808	9.59047390786074	-1.183871964746933	0.016004023661435163	0.4218021402634691
ASB12	1.6358067006874306	2.8140855222437615	-1.178278821556331	2.8336296633568736E-6	0.0019932553931829066
NPIPA3	4.928504440532583	6.0312845994099025	-1.1027801588773194	3.50800524900885E-5	0.012825866723279554
ZNF321P	1.6239690007230558	2.7126379916662526	-1.0886689909431968	8.405263559768672E-4	0.10780046475387822
AGAP7	1.7922298704310813	2.864656369436033	-1.0724264990049517	4.138806865905398E-5	0.014221877479597944
NPTX2	5.518259784398101	6.56053321932388	-1.0422734349257796	0.0017357421264402317	0.16046363252146953
F8A1	8.190002031814247	9.204965943681355	-1.0149639118671079	3.3520888287341677E-9	1.4328564511715111E-5
XKR9	2.4891404677145905	3.4871416458871436	-0.9980011781725531	0.0023569268099831175	0.18188284348903616
HBA2	9.936340270352746	10.927362665914139	-0.9910223955613926	0.005802162996710991	0.2751796679585953
SMN2	7.38270987787159	8.355892382155188	-0.9731825042835984	0.0012877564528571694	0.13492210660191511
SLN	2.276719553758735	3.215079211381425	-0.9383596576226902	0.0015788033119344957	0.15213315299974092
