Name	Mean(log(kidney_black))	Mean(log(kidney_white))	logFC	M-W U test pval	Adj pval
RP11-529K1.3	6.06857159655562	1.6155915490358634	4.452980047519757	0.04250942061308227	0.6368680703016324
F8A2	6.251478667030589	1.823637854502627	4.427840812527961	0.01217150134788969	0.634945875284817
AC104532.2	5.344282638243866	1.496804052439677	3.8474785858041893	0.034034161285242504	0.634945875284817
UGT1A9	11.091427221058819	7.470806527358833	3.620620693699986	0.024044376936055878	0.634945875284817
CYP2J2	8.59288589122046	5.092444024121613	3.5004418670988473	0.003529732680212838	0.634945875284817
SLC17A3	11.202856320844672	7.872732885909677	3.330123434934995	0.018895415409226457	0.634945875284817
CYP4A11	12.569991948440215	9.366140590249074	3.203851358191141	0.030368472234253985	0.634945875284817
SLC17A1	11.089998843177312	7.917202560897989	3.1727962822793234	0.005056217848019906	0.634945875284817
UGT2A3	11.6628586078621	8.599194507933387	3.0636640999287135	0.006682580708497254	0.634945875284817
UGT1A10	4.900039912993756	1.8528619592122024	3.0471779537815533	0.01140869765222996	0.634945875284817
FLT3	5.827102090192243	2.8347938250530604	2.9923082651391826	3.457542138728398E-4	0.634945875284817
LEFTY1	6.478559816358104	3.4977448248398963	2.980814991518208	0.007660514472875191	0.634945875284817
UBD	11.112857994062464	8.225196093129666	2.887661900932798	0.002434617788989457	0.634945875284817
PIGR	13.754285038070922	10.891195290068012	2.86308974800291	0.014737901972244893	0.634945875284817
SLC5A12	11.075710675046347	8.226890904162305	2.8488197708840417	0.06486878269325325	0.6368680703016324
UPK1B	9.027166901337234	6.180944181781743	2.8462227195554908	0.007660514472875191	0.634945875284817
G6PC	10.09145438335321	7.25554773409567	2.835906649257539	0.014737901972244893	0.634945875284817
ACSM1	6.785702673757011	3.9676386050537396	2.818064068703271	4.1121782685693553E-4	0.634945875284817
LBP	6.731482049377017	3.9384995455839964	2.7929825037930205	0.021334966651236242	0.634945875284817
NAT8	14.37285707409308	11.591642824816368	2.7812142492767116	0.06486878269325325	0.6368680703016324
CLEC18A	10.015724599037085	7.243639448713059	2.7720851503240267	0.01140869765222996	0.634945875284817
CLDN2	12.297142888959474	9.549205892251631	2.7479369967078426	0.010009266026059005	0.634945875284817
SLC16A9	11.27571410817679	8.556797456895858	2.7189166512809333	0.012979161286745367	0.634945875284817
UGT1A1	11.485714326116495	8.861150987209747	2.624563338906748	0.09614752312329422	0.6657941791336252
NSG1	7.255761986528323	4.640415372050117	2.615346614478206	0.002828679843690951	0.634945875284817
ACSM2A	12.622856107300576	10.027640106447764	2.595216000852812	0.0792605260675946	0.649636679002265
MAP7D2	7.171386502091436	4.612272514386596	2.5591139877048397	0.021334966651236242	0.634945875284817
LRP2	11.788571752938804	9.244033447892933	2.5445383050458705	0.038071650330058215	0.634945875284817
GJB2	8.65429536170043	6.131349993443084	2.5229453682573464	0.004081327530168322	0.634945875284817
CLRN3	9.6571399285985	7.1495501677687505	2.5075897608297497	0.034034161285242504	0.634945875284817
ACSM2B	12.655712686737301	10.148720645813547	2.5069920409237536	0.05852488864029348	0.6368680703016324
HNF4A	10.482859934598325	8.009690966444078	2.4731689681542477	0.012979161286745367	0.634945875284817
PTPN20A	6.909988514044831	4.445168556971212	2.464819957073619	0.002828679843690951	0.634945875284817
RNF186	9.557145592091242	7.092454465599585	2.4646911264916573	0.04250942061308227	0.6368680703016324
SLC2A2	8.27855760938904	5.840325137161605	2.438232472227435	0.05852488864029348	0.6368680703016324
SLC47A2	10.485713059924795	8.048800168462952	2.4369128914618425	0.021334966651236242	0.634945875284817
AOX1	11.668571151148372	9.249599440210027	2.4189717109383455	0.008764828179775086	0.634945875284817
RP11-598P20.5	3.4971430196853226	1.0876103626956501	2.4095326569896725	0.4798427052511657	0.8838773488453757
BLOC1S5-TXNDC5	3.219995816050296	0.8147925626623419	2.4052032533879544	0.2099996717556093	0.7426240819443022
UGT1A6	11.588569215721455	9.189999437842992	2.3985697778784623	0.027047252469097782	0.634945875284817
FUT3	8.45569247947413	6.084041470889677	2.371651008584454	0.02265449408008935	0.634945875284817
SLC16A1	8.860001958096788	6.489581082708563	2.370420875388225	0.002434617788989457	0.634945875284817
CTB-186H2.3	4.285164955062315	1.9205837975576012	2.3645811575047144	0.021334966651236242	0.634945875284817
TMEM252	10.344281515634524	8.004450547907568	2.3398309677269555	0.04250942061308227	0.6368680703016324
