Name	Mean(log(Gtex_black))	Mean(log(Gtex_white))	logFC	M-W U test pval	Adj pval
F8A2	4.9960452446898564	2.1190904054400534	2.876954839249803	0.0	0.0
F8A3	7.426102177125811	5.359712182842139	2.0663899942836723	0.0	0.0
NPIPB15	7.387993861616868	5.32169388806479	2.066299973552078	0.0	0.0
GSTM1	9.18537630017577	7.13214867838199	2.0532276217937806	0.0	0.0
CCL3L3	3.5689095986395234	1.9919895872816973	1.5769200113578261	0.0	0.0
SPINK2	4.553583455818451	3.120641138097094	1.432942317721357	0.0	0.0
CCL4L1	6.035154569474551	4.673541777695135	1.3616127917794163	6.217248937900877E-15	1.8262667364040444E-12
ACSM1	5.887804259469013	4.581234870824766	1.306569388644247	0.0	0.0
PTPN20A	4.529569303397353	3.3258449105235632	1.2037243928737897	0.0	0.0
GSTT2	8.331263637319905	7.2267371856630715	1.1045264516568336	0.0	0.0
GSTM3	11.209520753009112	10.156808390164967	1.0527123628441455	0.0	0.0
POLR2J2	7.714014918616907	6.709850602454686	1.0041643161622211	0.0	0.0
IGLL5	8.225856679632127	7.260439516874534	0.9654171627575927	6.152193238617709E-5	0.0016309132934746102
CCL4L2	5.458185538310498	4.504146716937801	0.9540388213726967	1.313406272629436E-9	1.4409490986221258E-7
ESPNL	4.4326643092519	3.4871961212069755	0.945468188044924	0.0	0.0
CD1E	4.861707310262139	3.918233235764755	0.9434740744973835	7.434830529007286E-12	1.275124915313773E-9
PNMA6A	1.8463332328577693	0.9101894294385711	0.9361438034191982	1.2009759853270907E-9	1.3255863421076955E-7
MAP1LC3B2	6.44588694413532	5.54906112099731	0.89682582313801	0.0	0.0
PM20D1	3.639176658792798	2.7501912366210464	0.8889854221717517	0.0	0.0
C10orf107	4.97379906932314	4.086174539241064	0.8876245300820758	1.1426060098074231E-10	1.5645970413994576E-8
CCL3L1	4.271158198612199	3.3979017576169244	0.873256440995275	1.7685867215178064E-9	1.894676551310723E-7
TUBB8	2.434719534981503	1.5630044380423618	0.8717150969391412	0.0	0.0
FCGBP	8.027545489116392	7.159003058171144	0.8685424309452481	8.32236171355305E-6	3.217979862573846E-4
C1QL3	3.985731818983201	3.119913674652823	0.8658181443303783	0.0	0.0
FTCDNL1	5.57129862383168	4.712188473010178	0.8591101508215022	0.0	0.0
LRRIQ3	4.038562012659149	3.20621900933905	0.8323430033200991	0.0	0.0
CTB-134H23.2	2.7097528007310983	1.8790615576450291	0.8306912430860691	0.0	0.0
AREGB	3.3378652747481907	2.5504806078615365	0.7873846668866542	4.84216014997596E-5	0.0013484009273908592
GAL3ST2	2.6354272174171585	1.854843442855904	0.7805837745612545	8.494316361407073E-13	1.7988196462086698E-10
IGJ	11.173257932711335	10.39296683574336	0.780291096967975	0.001688378894310505	0.020200655570851735
C4BPA	4.959834787564322	4.181651070923258	0.7781837166410641	0.0017422563789850631	0.020603878684464914
