Name	Mean(log(liver_black))	Mean(log(liver_white))	logFC	M-W U test pval	Adj pval
MUC3A	4.544377564023722	7.402553109448908	-2.858175545425186	1.7059233075811253E-4	0.17416122745149823
AMN	7.781347072782216	10.061968326643393	-2.2806212538611774	0.0017164943616030381	0.3877538084511069
FGF21	7.072286649073226	9.247622489942065	-2.175335840868839	0.07627656270308802	0.7812985151567149
ARSE	8.638577295405218	10.615670168918292	-1.9770928735130742	0.3364976063591212	0.938601831968191
FAM21B	3.0239963771068457	4.97638623070814	-1.9523898536012947	0.00571463888892465	0.5282995098735823
SLC39A4	6.5659372409977825	8.430198740551335	-1.8642614995535522	1.2730261976789947E-4	0.16560252222949895
FAM203B	2.0506116083230044	3.858375084791459	-1.8077634764684545	0.08516880823540973	0.7965658837442562
GABRP	3.225310219813818	5.005091240480587	-1.7797810206667686	0.005212134865966167	0.5103408611772894
PNMA6C	5.808746785209539	7.55927214740009	-1.750525362190551	0.045136804540936715	0.7332713775802232
NPIPA3	3.0117903600961373	4.647212912145837	-1.6354225520496994	2.0561605622393397E-4	0.17416122745149823
AL590714.1	12.082001903403796	13.680515008016556	-1.5985131046127599	0.05902000455047551	0.7526750331178759
UBE2QL1	3.061637878760676	4.616717327557023	-1.5550794487963469	0.0028677241009437138	0.4791467094163937
HBA2	11.172003039053376	12.679380421046567	-1.5073773819931908	0.00850585276092608	0.553244966007092
HS3ST3A1	3.135736185909108	4.611564868584135	-1.4758286826750266	7.865858778883794E-4	0.2852596241903255
HSD17B13	11.107317644342144	12.564426374661027	-1.4571087303188826	0.4343899634736961	0.9631251539789326
MRC1	4.204438268516255	5.643535288558354	-1.439097020042099	0.014380202094819716	0.5974759482689725
CWH43	1.8213088603887893	3.2433510179961513	-1.422042157607362	0.001151283125530922	0.343296151064048
TMEM163	1.5699692327755506	2.9905282900663974	-1.4205590572908469	0.011034697995962905	0.5645053929844843
GPR88	4.652438531869013	6.058135557491695	-1.4056970256226817	0.04606097386073882	0.7332713775802232
SMN2	7.169975819203888	8.55906708353166	-1.3890912643277726	0.003294257993037508	0.48421834720338064
CDRT4	3.9160407021553914	5.287390431049851	-1.3713497288944598	0.0012594933522279694	0.3528906604734735
FBLL1	1.5531631322958441	2.9141167924242164	-1.3609536601283723	0.011727480255493306	0.571071846024182
AOC1	3.7573181779656775	5.1120193052921765	-1.354701127326499	0.024649094712561048	0.661133008696851
TFF1	2.005502428368547	3.357269116870338	-1.3517666885017907	0.06880488657380801	0.7668755166965676
SPATC1L	3.200079173986043	4.550308988254363	-1.35022981426832	0.006179690177795516	0.5308703656509997
XKR9	3.7038827514082464	5.043596739838611	-1.3397139884303644	0.035213425739946125	0.7021629501424362
GSTA2	10.767329889524566	12.100708429869172	-1.3333785403446061	0.13268416334338773	0.8463901866233896
DEFA1	4.835234191603692	6.158861870850981	-1.3236276792472887	0.024108149575390425	0.661133008696851
CHURC1-FNTB	2.184118463114785	3.4994040795387797	-1.3152856164239948	0.0798850714531738	0.7898300332818683
MTRNR2L2	2.1339740030644916	3.4129694163995516	-1.27899541333506	0.032005662210982666	0.6858492307463361
KM-PA-2	5.025339240474547	6.299146213993771	-1.273806973519224	0.18121978369881697	0.8864825948758674
AC018816.3	2.509308692066253	3.7753729792154225	-1.2660642871491694	0.01245857342721246	0.5854507285041457
ALPK2	4.44619852719035	5.701494140406068	-1.2552956132157185	0.05902000455047551	0.7526750331178759
TPRG1	6.422001603836539	7.6651556436001576	-1.2431540397636187	3.9838559352267655E-4	0.24184661430783286
FAM83F	4.268311822990942	5.507377073450724	-1.2390652504597819	0.06624161589968136	0.7630564887824143
GPR133	5.8987515962909525	7.124734972602507	-1.2259833763115546	0.048441338020808966	0.7394917418566411
TMPRSS9	4.4700690911655	5.693361767639564	-1.2232926764740641	0.03269598737925428	0.6891890302673366
AL807752.1	0.8573522849213101	2.0782363801972945	-1.2208840952759843	0.02036928281418926	0.6451571801948084
MLIP	7.951306089390683	9.144852089588248	-1.193546000197565	0.01924076133643593	0.6325139809732331
EYA2	3.676088803087458	4.866608446745473	-1.190519643658015	0.015076480906264678	0.5974759482689725
PCOLCE2	7.33007463874401	8.51164606856787	-1.18157142982386	0.04559691626061424	0.7332713775802232
PANX2	5.964684462681959	7.143995621697681	-1.1793111590157226	0.01012592377537258	0.5608711515300328
CAPN8	2.183940493129154	3.3581349787557	-1.174194485626546	0.020836608940238643	0.6461199663216418
SERPINE1	10.572001623384915	11.740309212150006	-1.1683075887650904	0.03711129472361696	0.7065462372279836
FAM118A	6.405320580296389	7.571131518904331	-1.165810938607942	3.919841778512456E-4	0.24184661430783286
GFRA3	0.9303716568824881	2.094000130112126	-1.1636284732296378	0.006179690177795516	0.5308703656509997
BCL2L15	1.2977482858019445	2.457268397137138	-1.1595201113351934	0.0066785474044938065	0.5358136798706661
SYT12	6.525205910457819	7.674028878967089	-1.1488229685092701	0.0316652100428263	0.6840887370106199
SLC13A3	6.958211798414819	8.101860022076595	-1.143648223661776	0.16505549464324631	0.8792017164208253
RP11-279O9.4	1.1206161892491742	2.252447600760116	-1.1318314115109418	0.03750114188709319	0.7065462372279836
VWDE	1.01519411700613	2.1370206243012326	-1.1218265072951026	0.020836608940238643	0.6461199663216418
NPIPA2	1.874060776804742	2.9851580737655143	-1.1110972969607724	0.010636704856545554	0.5631269443238593
HHATL	1.253814329999914	2.359888487451341	-1.1060741574514268	0.0030318920171531483	0.48421834720338064
ACHE	4.143614315789536	5.247998994742736	-1.1043846789532	0.04289455372778084	0.7206601591239341
ZNF749	5.252609536446427	6.35670537948277	-1.104095843036343	4.3188375336922213E-4	0.24579584113625855
RAMP1	9.534659099064434	10.623916606139382	-1.0892575070749473	0.03711129472361696	0.7065462372279836
CNKSR1	4.292930470785796	5.377107608918094	-1.084177138132298	0.06314869027618641	0.7606243037763935
SIPA1L2	5.343312087856747	6.418047625022392	-1.0747355371656448	0.00468698323921557	0.49715599610448663
ZDHHC19	5.4800646052797894	6.553606792328584	-1.073542187048795	0.09658300377831763	0.8109588127297007
SPIRE1	5.0667680385145495	6.138074641617177	-1.0713066031026273	0.028120656568914715	0.6723801057692403
PADI4	2.279203013632888	3.349237256600707	-1.070034242967819	0.0039350052375412	0.48421834720338064
ZNF239	2.816454486894482	3.874784290636679	-1.0583298037421973	0.006508377528490983	0.5358136798706661
TUBB2B	4.910754840911718	5.967582672325519	-1.056827831413801	0.016176577637782463	0.6052314416507162
AC021218.2	2.2138311257997123	3.2593657400811495	-1.0455346142814372	0.13049721543860326	0.8441231071401091
GLT1D1	7.9220148958483225	8.966801817897661	-1.0447869220493384	0.03304590547109143	0.6919943426157982
HAVCR1	0.35971393040781174	1.398333432129624	-1.0386195017218123	0.009284402231850453	0.5594932709309197
PCK1	13.99000430645644	15.027424627101958	-1.0374203206455181	0.14522313865454373	0.8559235602513108
ZG16	7.296666224456084	8.33009046533751	-1.0334242408814251	0.11109193219367619	0.8268108986968659
URGCP-MRPS24	0.7506947851987781	1.779279527150069	-1.028584741951291	0.08991948338304478	0.8035395639705651
KRBOX1	2.5467861150995357	3.573072473495518	-1.0262863583959825	0.09572906383186208	0.8108919583748242
CLVS1	1.2193284839910186	2.2404490980633964	-1.0211206140723779	0.0090557156596206	0.5571712621385485
ADCYAP1	0.98205104735263	2.001734637280212	-1.019683589927582	0.0090557156596206	0.5571712621385485
DISP2	2.937780013515548	3.9551583370957393	-1.0173783235801914	0.05902000455047551	0.7526750331178759
INHBE	9.61466685581155	10.615156782412711	-1.000489926601162	0.05298639109479575	0.7473723118479256
