Name	Mean(log(stomach_black))	Mean(log(stomach_white))	logFC	M-W U test pval	Adj pval
TM4SF4	5.95299083935591	8.027218050467805	-2.0742272111118956	3.6242360204252755E-4	0.13662219017588056
ANKRD65	6.5893240917589315	8.50559671837008	-1.916272626611149	1.148905537373679E-8	1.0927720340037084E-4
APOA1	6.612420711379643	8.43389647175998	-1.821475760380336	0.0019944463790382283	0.263209111993074
CBLN1	2.085523999130804	3.792570417904427	-1.707046418773623	2.827458381982062E-6	0.00784930458798816
REG3A	8.223442997303428	9.920138718709003	-1.6966957214055753	0.03379147239548752	0.6883784063384997
REG1A	10.387576719582793	12.075667529058412	-1.6880908094756197	0.03196757822042817	0.6707298785143294
SPATC1L	6.539758279861075	8.201443119788209	-1.6616848399271342	1.804707822861129E-5	0.018259632705526045
LY6K	3.3003025074021335	4.95547790228738	-1.6551753948852466	2.1434802375575046E-4	0.10048723122732832
BTNL3	2.4440680164766078	4.039163656065315	-1.5950956395887075	0.017554535669504157	0.5688669103434336
UGT2A3	2.7218186530001662	4.308214810293545	-1.5863961572933785	0.006565257803531566	0.4080767068870883
CHST13	1.7159259855557105	3.272303930063197	-1.5563779445074866	4.588321953158392E-6	0.008838642541893371
CCL18	4.5596664379531795	6.045596438704375	-1.4859300007511953	0.01144275256373406	0.5023971150163203
CCDC144A	2.0943459814799796	3.499580392870606	-1.4052344113906265	5.333073929025822E-6	0.008838642541893371
GNG4	4.762763580902405	6.14670996138951	-1.3839463804871048	9.77217979846734E-4	0.20118944218590631
MARCO	3.6439321885955622	5.026766383254355	-1.3828341946587925	0.0029556430844820403	0.29096309110587526
GSTT1	7.797844948025682	9.153982179891566	-1.3561372318658833	0.0023874567742303565	0.2700643650452376
CFC1	3.2066904521430426	4.553880868500772	-1.3471904163577295	0.0021359415225912226	0.2685983153845821
WFDC2	8.425857812250648	9.743600738375013	-1.3177429261243656	0.005999415878141345	0.3916177848484236
FAM203B	1.806912148845366	3.1094177846467757	-1.3025056358014095	0.038050393736211	0.7210965356127728
BPIFB1	7.078272423523922	8.371478993547981	-1.2932065700240596	0.077653973834936	0.848370828723368
NPIPA3	4.028139426907343	5.306645283351403	-1.2785058564440606	6.447906058348885E-4	0.17792312899189378
SST	8.516314826985704	9.793991918867045	-1.2776770918813405	0.006419468892584712	0.4026374095937576
PROX1	3.4103558014538247	4.684145561694438	-1.273789760240613	3.482972451818167E-5	0.03275779087382631
VGF	3.08518160307697	4.337093455293829	-1.2519118522168586	3.675866087534674E-4	0.13662219017588056
ARSE	5.11379545718262	6.365163138588932	-1.251367681406312	0.001277733736588682	0.2134870349610374
CST1	0.0	1.236854114211946	-1.236854114211946	0.11867198797413914	0.9007559441928051
SIX1	1.9316486312027077	3.1598999016651352	-1.2282512704624275	3.400181660950796E-4	0.1346176269765998
ANPEP	8.19862504540151	9.418424508099678	-1.2197994626981679	0.005700806240185652	0.388850499049667
CHGA	8.83208047496	10.046129629056583	-1.2140491540965836	0.01079431262922681	0.49517889572664653
GHRL	8.416515663853573	9.606445393938838	-1.1899297300852645	0.015153546887481939	0.543260621879569
LTF	8.374184988398113	9.550824985046997	-1.176639996648884	0.077653973834936	0.848370828723368
CACNG4	3.397210019829329	4.571165447180018	-1.173955427350689	0.0026015154860622447	0.2722919542078483
LGALS7	2.31961724258583	3.4892980338608335	-1.1696807912750034	0.03570362478479272	0.703716898896802
MSLN	4.779314263845747	5.940789752209814	-1.1614754883640668	0.006455640434953724	0.4026374095937576
FAM21B	4.019156676903678	5.178890557062035	-1.159733880158357	0.003064611202764911	0.29221308494635895
