Name	Mean(log(thyroid_black))	Mean(log(thyroid_white))	logFC	M-W U test pval	Adj pval
SORCS1	3.537577148179133	5.658440858974772	-2.1208637107956387	3.0216051882803185E-11	1.375736842224029E-7
RGPD1	2.81071664107493	4.650725392587015	-1.840008751512085	1.510000791071775E-9	3.0555704896665743E-6
SLC44A5	2.0371240839460207	3.832826804570867	-1.7957027206248464	6.836668564602633E-9	7.781837993658947E-6
CPAMD8	7.05721351040895	8.843972845098714	-1.786759334689764	3.039422891149002E-8	2.6359033187431247E-5
NKX2-3	1.6157838233559787	3.3916457239135536	-1.7758619005575749	2.168834556393051E-9	3.590801358275477E-6
CTSE	6.384842205200513	8.00299893035921	-1.6181567251586966	1.1865019477164118E-4	0.009436058284633753
PNMA6C	4.900441627459255	6.512281247516985	-1.6118396200577303	4.7067119794674817E-4	0.021979138094887635
SPATC1L	5.267617154816388	6.858300188866231	-1.5906830340498432	4.481640533682274E-6	9.953614317002632E-4
AL354718.1	2.6928069670750117	4.23811229221815	-1.5453053251431386	0.003228414233602983	0.0723196556240806
MUC16	2.025967414006391	3.5353718966749166	-1.5094044826685256	1.1739371440833146E-5	0.0019089056489326184
IL1RL1	4.69251385020459	6.18944792447276	-1.4969340742681698	4.185848435591666E-4	0.020771845152314828
CUX2	4.554477612574853	6.006555825116213	-1.4520782125413598	1.7820057727313543E-4	0.01238168186562624
HOXD1	0.6973587169394975	2.052586674805243	-1.3552279578657456	1.9929757844039386E-9	3.590801358275477E-6
VAT1L	4.636142976402406	5.96721507866727	-1.3310721022648648	3.2521588295364445E-5	0.004001913284021468
MAG	4.631708378943861	5.926576575383243	-1.2948681964393822	3.845822168302426E-5	0.004331231448176589
LAMC3	4.097707855646342	5.392425753048532	-1.2947178974021902	2.1975185702238775E-6	6.455033580793106E-4
AGAP7	2.020474128777399	3.2537068634859407	-1.2332327347085417	2.8393927354875004E-6	7.835003105863388E-4
CCDC144A	2.354992214631231	3.5879292556475644	-1.2329370410163332	8.92304142685596E-7	3.532748488389147E-4
NPIPA2	3.890077445302084	5.122648597125535	-1.2325711518234508	8.397692575212723E-6	0.0014975817144596826
FAM21B	5.161345034964105	6.387844142630446	-1.2264991076663412	0.0011196599595316714	0.0378137178412585
IGFN1	8.396718784807952	9.62093424316763	-1.2242154583596783	0.00232664549763828	0.05942898710096543
NPIPA3	5.2992748753750885	6.517680309393298	-1.2184054340182096	1.6124756196944645E-8	1.5456003150460835E-5
CD22	6.119306651887952	7.324526817998395	-1.2052201661104425	6.2416777075746666E-6	0.0012355808088081502
FTCD	3.103024109165938	4.301502274719204	-1.198478165553266	4.384309177152268E-6	9.953614317002632E-4
C6orf52	4.056740643306601	5.22348262860874	-1.1667419853021386	6.9557557380584E-7	3.016148178607609E-4
GSTT1	9.055483715925385	10.1407430142226	-1.0852592982972151	0.031379249308033264	0.23821545994076773
HLA-DRB5	8.322317567964124	9.405315474358858	-1.0829979063947341	8.047020850822095E-4	0.03111514728984543
NDNF	3.7000007644031645	4.781164299131576	-1.0811635347284114	5.371974975965088E-9	6.6307337982370505E-6
ZMAT4	7.417902496605858	8.49818715856382	-1.0802846619579611	0.005105796052594647	0.094116151528192
TACSTD2	6.675354540632221	7.754976034317525	-1.0796214936853037	0.0010325322566134831	0.03630208003367713
RP11-565P22.6	1.1869530794211096	2.2598023875308453	-1.0728493081097357	4.0152419720107524E-4	0.02020043834095575
SFN	4.216412734186178	5.284446544921723	-1.0680338107355452	9.271185450363539E-4	0.033973205115094725
PROM1	5.666271067767381	6.734064216893033	-1.0677931491256523	4.5632449707266876E-4	0.021755449582951423
B3GNT3	1.906353184951628	2.9166606419456964	-1.0103074569940684	0.001983547251763751	0.05383660588542687
LRP8	8.189999536495089	9.194605984002457	-1.0046064475073688	5.1086080032902714E-8	3.578383421381632E-5
MINOS1-NBL1	3.3528183089190082	4.353120236083034	-1.0003019271640254	0.006356802500862013	0.1070953627619787
KLK1	6.0505729695795205	7.037342531997239	-0.9867695624177184	0.015486379581059362	0.16949395728981556
S100P	3.127709648824374	4.109008960814991	-0.9812993119906173	6.07667876004081E-4	0.025978514924381038
TMEM100	5.457289873750665	6.43682522586457	-0.9795353521139054	3.6293885196769793E-4	0.018724765926446785
SMN2	8.004183579070842	8.983673252909655	-0.9794896738388132	1.590569873912706E-4	0.011540820136931555
KLK10	3.3553762742118667	4.326678197425099	-0.971301923213232	0.03181476736851585	0.23972302164477066
FXYD3	3.458613012270223	4.427916263239622	-0.9693032509693986	0.005879069282314742	0.10216565817701917
UNC5D	1.69210488133899	2.6585026394439177	-0.9663977581049277	3.962079516584005E-6	9.412523074020935E-4
SORCS2	5.95489400145072	6.9189179354463795	-0.9640239339956596	3.385049577286914E-5	0.0040826836358641904
OLFM2	7.826970101387501	8.777153070264575	-0.9501829688770735	3.6429514806979313E-6	9.088415392667222E-4
SCGB2A1	5.829523233434274	6.768432174560148	-0.9389089411258746	0.0011865478010314456	0.03914747926156646
ICAM5	3.5762228600863395	4.510145603028674	-0.9339227429423342	5.815321105315796E-4	0.025241779417716517
KRTAP5-1	1.9609610495853684	2.892474685393523	-0.9315136358081544	1.02559923453871E-5	0.0017368021627969037
F8A1	8.408603597624586	9.332284212761763	-0.9236806151371777	3.2151725726237146E-10	8.66640828687894E-7
TCERG1L	7.561632023984328	8.484272884197926	-0.9226408602135985	0.013124212500535637	0.15673321839983936
SFTPB	8.10765166794023	9.014429635865321	-0.9067779679250911	0.10788860869098793	0.43023151773161206
RP11-190A12.7	2.1978324253269172	3.1030941369476768	-0.9052617116207595	8.020424447824359E-4	0.031078291498676004
MEI1	5.339293275712005	6.228978111094725	-0.8896848353827203	5.834896012613111E-5	0.005622493448767724
ARL14	1.1751924558135658	2.057261622171493	-0.8820691663579272	0.02104706370947884	0.19516757855245856
USH1C	3.7916965452895854	4.6666416372709785	-0.874945091981393	0.0027979468708586586	0.06609106149426446
CYP24A1	4.076358378218745	4.950201931667903	-0.8738435534491575	0.051545949689177695	0.3063821265467703
PLCH2	5.341644394564295	6.2046348820215265	-0.8629904874572318	8.154226991873292E-4	0.03146287753728737
LAMA1	6.498142562753931	7.360788917005729	-0.8626463542517975	2.6803919390361308E-5	0.0034136572023584625
DEPDC1B	3.7693270737848987	4.619877769507259	-0.8505506957223599	0.0028744318192953644	0.06754729328129959
MISP	1.8324353553000579	2.681085751254407	-0.8486503959543492	0.0031998362422982485	0.0722124134383342
AREG	3.9753385561671193	4.8198296969574335	-0.8444911407903142	0.014499978793321766	0.16556339422192853
MLXIPL	5.655894251966656	6.499739026471386	-0.8438447745047295	1.397744631164155E-4	0.010514500837149665
SCGB1D2	3.233106211111504	4.071329245556575	-0.8382230344450705	0.002442669213933657	0.06077307612590131
ST6GALNAC5	1.8647314480203683	2.70231122870273	-0.8375797806823617	0.002900347888748045	0.06789349068107892
ADRB1	2.469841371333226	3.3038616558160636	-0.8340202844828375	8.124767986172898E-7	3.2881838792040184E-4
CORO6	9.814183895671828	10.643933652023623	-0.829749756351795	0.0013062842824114185	0.04188388970295204
KRT19	9.220237664083072	10.048464662147865	-0.8282269980647925	0.01980325910604286	0.1907228740556597
HRK	2.7295909625270944	3.5532005451027606	-0.8236095825756662	3.504578761588384E-4	0.018340628852312545
ALOX15B	4.80221473274157	5.622744547062224	-0.8205298143206541	0.014685252087347389	0.1665303929108161
CXCR5	2.0569504407314327	2.877420399933227	-0.8204699592017941	0.06136909378323119	0.33342897851438136
ATHL1	9.171163633270131	9.987527865606753	-0.8163642323366211	6.479223986766147E-5	0.006051262935742824
CFHR3	2.0720874084322607	2.8883578085073216	-0.8162704000750609	0.0036005100034381954	0.07723496841297575
RIMS4	6.539493660658814	7.355657440207872	-0.8161637795490577	7.836521543431729E-4	0.030958509837088647
GGTLC2	3.798534329240964	4.607827828844389	-0.8092934996034251	0.010163692691615545	0.13948844860565357
MTRNR2L12	6.119070572206104	6.927521643498587	-0.8084510712924837	0.002435265424771016	0.06077307612590131
AC007952.6	3.5464429400304627	4.335406820577752	-0.7889638805472896	0.0069071730438405865	0.1119158678598085
COL28A1	4.029436816047606	4.817051575427707	-0.7876147593801006	7.321617490840815E-6	0.001388971851491593
CPNE4	1.6745874926464104	2.458188962437018	-0.7836014697906075	0.012956455611517925	0.15534099380971986
CACNA1I	6.130467128205976	6.912623274075418	-0.7821561458694424	2.313450520222693E-4	0.014478543255771713
PRH2	0.8089618833884764	1.5887315280745924	-0.779769644686116	0.0040580724092054155	0.08304001653533598
MMP9	5.676777363927042	6.454107696807545	-0.7773303328805028	0.019324001491471177	0.18870172394781398
ENPP2	7.093269107291301	7.870484905091422	-0.7772157978001211	1.264274620670358E-4	0.00996751921716388
DTX4	7.392327515807866	8.165285009775836	-0.7729574939679704	4.771816296554876E-4	0.02205693360224807
AL627309.1	6.9162902597542315	7.685731989025679	-0.7694417292714473	1.821476302494851E-4	0.012470949782344445
PRSS21	1.1527317892588453	1.9129641092280527	-0.7602323199692074	0.0011903699128519296	0.03920256212090297
RGPD2	4.950029458782405	5.707569850630361	-0.7575403918479564	1.149480844009343E-5	0.0018859770388376714
NPTX2	2.86933455207723	3.621547250584722	-0.752212698507492	0.0037511884151150143	0.07879658986859821
XKR9	2.600666366264333	3.3507471222727685	-0.7500807560084355	0.0011751493934056834	0.038841779950461536
PRTN3	1.3431421673552384	2.0911863490327187	-0.7480441816774803	4.6424370619935207E-4	0.021960536044941817
PCSK2	7.784480404339848	8.53073701661106	-0.7462566122712113	0.07196646052073552	0.3581998302824912
COL8A2	7.126731675768769	7.871571887830034	-0.7448402120612645	0.001959181394383225	0.053655054969183893
SYCE1	4.535133110124951	5.278257967844989	-0.743124857720038	0.16548749571938803	0.5196307365588785
RAMP1	5.761841422210382	6.501927830874123	-0.7400864086637409	0.004920417016504475	0.09276463219935767
LL22NC03-75H12.2	3.692107533820214	4.432166848061631	-0.7400593142414174	0.004754724254504961	0.09143932219962445
VWDE	5.556758623752771	6.296702897101269	-0.739944273348498	7.86255155424187E-4	0.03099411015278202
ORM1	3.155888647238195	3.8956042046307453	-0.7397155573925502	0.031379249308033264	0.23821545994076773
PADI4	1.6615429393245864	2.3991941570575523	-0.7376512177329659	1.3720670624817188E-4	0.010411702225798777
OTC	1.7397063163051874	2.4749737735652113	-0.735267457260024	3.3365774827365247E-4	0.017715961841282095
OR2A42	2.682630522501077	3.41669918251022	-0.7340686600091431	0.07780239101173014	0.37199715019838
MADCAM1	3.651205113923566	4.3839231257987015	-0.7327180118751353	4.081749831497117E-5	0.004532733410440579
ST8SIA2	1.2164375779278531	1.9475010317719024	-0.7310634538440492	2.4153374333757416E-4	0.01476111588477819
HTR2B	4.4753837484151715	5.2044882737236575	-0.729104525308486	4.400340160870542E-5	0.004798432080580539
RP4-583P15.14	3.4897615134707065	4.218012865169585	-0.7282513516988782	0.14652100223461384	0.49351590395723827
BIRC7	1.5504025406522672	2.278120022469691	-0.7277174818174237	0.005636679484043783	0.09927969706325471
APOA2	1.1841274788056415	1.9107659345204222	-0.7266384557147807	0.01980325910604286	0.1907228740556597
RFPL2	0.9754667638676132	1.7019827896723232	-0.72651602580471	6.161137667937133E-6	0.00123303999130188
SH3GL2	4.422480696386332	5.146242182702768	-0.7237614863164357	0.008776898029103086	0.12901119201454836
TRIM55	2.783026344342395	3.501215834626895	-0.7181894902844999	1.8549947763490948E-4	0.012511628386832828
ANKRD30BL	1.5860741846977722	2.303659137818773	-0.7175849531210008	0.0011526555262321159	0.03851772925456751
LIMS3	2.5333318667165194	3.2461172487204983	-0.7127853820039789	0.007877188332399365	0.12106274591532257
CLDN10	2.3007404358394212	3.0115701936476813	-0.7108297578082601	0.05911649254205287	0.3274420809537308
NPFF	4.050639799969198	4.757952387017305	-0.707312587048107	0.005862622298848819	0.10216565817701917
PNMA6D	1.1688386004093674	1.874414601478645	-0.7055760010692775	0.012956455611517925	0.15534099380971986
SLCO1B3	0.4947598338153474	1.2002346748477815	-0.7054748410324341	1.0881498191173122E-5	0.0018015804096149536
CDRT1	2.7904462129131353	3.494518071390633	-0.7040718584774979	0.02402526924575432	0.2101576385704504
AIM2	2.815989830301896	3.5185638530832173	-0.7025740227813211	0.01776951721603537	0.18038932415743372
TUBB2B	4.232317167959891	4.9342763609248195	-0.701959192964928	3.6293885196769793E-4	0.018724765926446785
NSG1	3.453997125076688	4.152171478334842	-0.6981743532581541	0.0037402385319418308	0.07865730270637947
HLA-DQB1	8.782101681851783	9.477453278130268	-0.6953515962784849	0.015564647180066449	0.16963695657891692
SPATA18	4.404815561418418	5.099205741465189	-0.6943901800467716	6.654794214687731E-4	0.027544798235884765
BTNL3	0.902551132498111	1.5966782577621672	-0.6941271252640562	0.002369549686799255	0.06010339679106968
ZFP57	0.726108886776542	1.419557199725785	-0.693448312949243	0.012177349618331057	0.15187818176395615
FCAR	1.730455174573329	2.4229424059843088	-0.6924872314109798	2.669677103639412E-4	0.01568392239080031
ICAM4	2.8491464919578267	3.53533376137438	-0.6861872694165534	0.004129290621998738	0.08421348354741434
HOXA5	3.478585387671157	4.164470929235501	-0.6858855415643434	1.3073693605714087E-4	0.010088902879121396
GNG8	0.5162718061899182	1.2009988767113535	-0.6847270705214353	0.08617713218014722	0.38819142499748727
TBC1D3	5.7460129226091565	6.4285104960484585	-0.682497573439302	1.2555787769374938E-5	0.0019878664669071844
KLRC2	2.0755448481097063	2.7578639303835737	-0.6823190822738674	0.004299897100257355	0.08633927893041561
LRRC37A2	7.764654114608144	8.44528169560366	-0.680627580995516	2.5375590517739965E-11	1.375736842224029E-7
DEFA3	1.7677884332397635	2.4478074420705007	-0.6800190088307372	0.01198918041176844	0.15068802875026008
PLEKHG4B	6.327195685557726	7.004835447270002	-0.6776397617122765	0.008847941045505459	0.12942867656284773
DARC	8.476515052007118	9.15366954402895	-0.6771544920218329	0.01117394451102438	0.14587804834034124
KRT80	4.262123612497612	4.937553501215278	-0.675429888717666	0.011380431562008964	0.14661937434661246
RIMS2	2.6436139998115777	3.3128996731328173	-0.6692856733212396	0.00976733509262706	0.13641311864027916
E2F2	2.1181810228353424	2.7848564833829683	-0.6666754605476259	1.3595698859170113E-5	0.002098346335789882
PTPN20B	3.203641236343492	3.8680483430199044	-0.6644071066764123	0.012114337780820383	0.15163320939127203
RGS20	3.9332608632112347	4.596571798823072	-0.663310935611837	4.2327786290430325E-6	9.757894226852115E-4
CCL20	2.2800494678331007	2.9426554378132725	-0.6626059699801718	0.037040582493633956	0.2591560078271462
OVCH1-AS1	2.620963406910343	3.2821985450776348	-0.6612351381672918	7.993909639525398E-4	0.031078291498676004
NDUFC2-KCTD14	1.2104693587053539	1.868116187940553	-0.6576468292351991	0.15860890651475068	0.5100510201349827
ZNF600	6.213495856627168	6.86973673061226	-0.6562408739850918	1.4054646335637244E-11	1.2798160953231275E-7
MT-ND3	17.637209297336913	18.292846441280687	-0.6556371439437747	8.46974064294681E-6	0.0014975817144596826
NAPSA	5.05510655443273	5.707940518085089	-0.652833963652359	0.026166851383969125	0.21850100752170826
PRM2	0.9661029851658206	1.616947734669757	-0.6508447495039363	0.006626852122772031	0.11001661883311234
AGR3	6.386734044033167	7.036895358409581	-0.6501613143764136	0.027555246745480932	0.22443477358170785
CBLC	4.729543633029518	5.379060170165466	-0.6495165371359475	0.0020646700028401632	0.05465373559843757
VIP	3.5689121447682055	4.214953371150787	-0.6460412263825814	3.695791833513429E-5	0.0042599848653130734
NACAD	4.147521301818656	4.791525125121492	-0.6440038233028362	5.2721565219626676E-5	0.005275632669120006
NPPC	3.147013573325989	3.7861403015126056	-0.6391267281866164	0.1583383343629987	0.5094801670351471
DUSP4	4.673222792554771	5.31051253090147	-0.6372897383466984	3.5655305700821316E-5	0.004206132838157106
LIPH	1.9954356420154922	2.6323416783646105	-0.6369060363491184	0.0372071983286375	0.25972307242665627
ABCC8	6.773771174475755	7.409112277597157	-0.6353411031214025	0.018947923956656565	0.1865295087019618
EFNB3	3.0910756624820532	3.7252756737610055	-0.6342000112789523	1.6260412643176458E-4	0.01170492628685888
IL18R1	4.858575438693399	5.490475001414828	-0.6318995627214292	0.001917201318285211	0.05306393679120101
CST6	8.380711111705157	9.012286852567353	-0.6315757408621963	0.09203635379626252	0.4026341761560252
IL8	4.7838654424931795	5.4134326942889155	-0.629567251795736	0.03438181897174852	0.24976533191602876
ADARB2	1.3778950097399534	2.0074464395405074	-0.629551429800554	0.002413177112779552	0.060535511815346006
DMRT1	1.824431358249513	2.4535337060218216	-0.6291023477723086	0.0026029853785600743	0.06327603035979036
APOC4-APOC2	1.1808460958694078	1.809364459486553	-0.6285183636171452	0.07581569032519442	0.3676132460602878
FBLL1	1.8602123541486888	2.4876250773266535	-0.6274127231779647	0.006590259280924937	0.10980951694803746
CRYGN	8.91511379153047	9.542395560192762	-0.6272817686622929	0.0020081909729957603	0.05434349777146922
HS3ST3A1	2.3256543150383693	2.95208954837996	-0.6264352333415908	0.003930394846028862	0.08097324766501995
TP53TG3D	2.9512864640698337	3.576158344919925	-0.6248718808500913	0.013023329384648008	0.15583500312300233
AC104534.3	0.9237567833789552	1.5484367446783476	-0.6246799612993924	0.043074576399068754	0.27879323875780526
PRM1	1.0669199342213271	1.6903826309134016	-0.6234626966920744	0.014573839325613736	0.16619834802634775
PVRL4	2.6444423400398365	3.267628710683376	-0.6231863706435394	0.018947923956656565	0.1865295087019618
TNP1	2.679299645618771	3.3006675105459955	-0.6213678649272243	0.0037075629775641383	0.07842292328385377
ZNF321P	1.8137085593476316	2.433339660703062	-0.6196311013554305	0.015024007604927947	0.16819884513754865
MYOT	4.078045364250158	4.69714112383491	-0.6190957595847513	7.021100494372101E-4	0.028542027277568015
TRIB3	6.5951322215682655	7.212735811950842	-0.6176035903825765	0.003286269035196576	0.07263292678276705
GABRB3	6.530429394059576	7.147488610040691	-0.617059215981115	0.009819374331611286	0.1366160774081778
CYP1B1	5.954968497279614	6.571454760745828	-0.6164862634662143	0.07491281551588369	0.36508220395377944
PCDHGC5	2.0939810086681763	2.7099341105919987	-0.6159531019238225	8.568163053245259E-4	0.03237414637462711
AP001362.1	0.26627037366211564	0.8820729414275764	-0.6158025677654608	0.17172426876554747	0.5270323689146134
GPR171	4.331675400561356	4.946187159786293	-0.6145117592249365	0.02585987595947281	0.21773465602122924
CES1	7.719261197378993	8.331465121771348	-0.6122039243923556	0.0737226618752177	0.36248302323743653
MGAT4C	7.72487564222851	8.334306971350657	-0.6094313291221463	0.013569402034740663	0.15984860922166685
FMO1	5.105569729529723	5.714933150452022	-0.6093634209222989	0.006012149629028962	0.10329553683384478
