Total_terms_MW	Total_terms_Limma	Intersection_All	Only_MW	Only_Limma	Intersection_top_20	Only_MW_top_20	Only_Limma_top_20	Terms_Intersect_top_20	Terms_Only_MW_top_20	Terms_Only_Limma_top_20	Terms_MW_top_20	Terms_Limma_top_20	Terms_Intersect_ALL	Terms_Only_MW	Terms_Only_Limma
150	182	97	53	85	0	20	20		Herpes simplex virus 1 infection	Cytokine-cytokine receptor interaction	Herpes simplex virus 1 infection	Cytokine-cytokine receptor interaction	Alcoholism	Herpes simplex virus 1 infection	IL-17 signaling pathway
									Alcoholism	Viral protein interaction with cytokine and cytokine receptor	Alcoholism	Viral protein interaction with cytokine and cytokine receptor	Primary bile acid biosynthesis	Pantothenate and CoA biosynthesis	Salivary secretion
									Pantothenate and CoA biosynthesis	IL-17 signaling pathway	Pantothenate and CoA biosynthesis	IL-17 signaling pathway	Phenylalanine metabolism	Ascorbate and aldarate metabolism	Inflammatory bowel disease
									Primary bile acid biosynthesis	Circadian entrainment	Primary bile acid biosynthesis	Circadian entrainment	Folate biosynthesis	Pentose and glucuronate interconversions	TNF signaling pathway
									Ascorbate and aldarate metabolism	Salivary secretion	Ascorbate and aldarate metabolism	Salivary secretion	Glycine, serine and threonine metabolism	Glyoxylate and dicarboxylate metabolism	Leishmaniasis
									Pentose and glucuronate interconversions	Staphylococcus aureus infection	Pentose and glucuronate interconversions	Staphylococcus aureus infection	Tryptophan metabolism	Pyruvate metabolism	PI3K-Akt signaling pathway
									Phenylalanine metabolism	Renin secretion	Phenylalanine metabolism	Renin secretion	Cholesterol metabolism	Porphyrin and chlorophyll metabolism	Tuberculosis
									Glyoxylate and dicarboxylate metabolism	Inflammatory bowel disease	Glyoxylate and dicarboxylate metabolism	Inflammatory bowel disease	Ferroptosis	Fat digestion and absorption	Influenza A
									Folate biosynthesis	Malaria	Folate biosynthesis	Malaria	Tyrosine metabolism	Cysteine and methionine metabolism	Cell adhesion molecules
									Glycine, serine and threonine metabolism	cAMP signaling pathway	Glycine, serine and threonine metabolism	cAMP signaling pathway	African trypanosomiasis	Fatty acid degradation	Vascular smooth muscle contraction
									Tryptophan metabolism	Proteoglycans in cancer	Tryptophan metabolism	Proteoglycans in cancer	Steroid hormone biosynthesis	Drug metabolism - other enzymes	Osteoclast differentiation
