Total_terms_MW	Total_terms_Limma	Intersection_All	Only_MW	Only_Limma	Intersection_top_20	Only_MW_top_20	Only_Limma_top_20	Terms_Intersect_top_20	Terms_Only_MW_top_20	Terms_Only_Limma_top_20	Terms_MW_top_20	Terms_Limma_top_20	Terms_Intersect_ALL	Terms_Only_MW	Terms_Only_Limma
68	61	60	8	1	19	1	1	Cytokine-cytokine receptor interaction	Staphylococcus aureus infection	Influenza A	Cytokine-cytokine receptor interaction	Cytokine-cytokine receptor interaction	Cytokine-cytokine receptor interaction	Linoleic acid metabolism	Kaposi sarcoma-associated herpesvirus infection
								Viral carcinogenesis			Viral carcinogenesis	Viral carcinogenesis	Viral carcinogenesis	Relaxin signaling pathway	
								Chemokine signaling pathway			Chemokine signaling pathway	Chemokine signaling pathway	Chemokine signaling pathway	Porphyrin and chlorophyll metabolism	
								Alcoholism			Alcoholism	Alcoholism	Alcoholism	Arachidonic acid metabolism	
								Systemic lupus erythematosus			Systemic lupus erythematosus	Systemic lupus erythematosus	Systemic lupus erythematosus	Taste transduction	
								NF-kappa B signaling pathway			NF-kappa B signaling pathway	NF-kappa B signaling pathway	NF-kappa B signaling pathway	PI3K-Akt signaling pathway	
								Viral protein interaction with cytokine and cytokine receptor			Viral protein interaction with cytokine and cytokine receptor	Viral protein interaction with cytokine and cytokine receptor	Viral protein interaction with cytokine and cytokine receptor	Fc gamma R-mediated phagocytosis	
								Toll-like receptor signaling pathway			Toll-like receptor signaling pathway	Toll-like receptor signaling pathway	Toll-like receptor signaling pathway	Chemical carcinogenesis	
								Primary immunodeficiency			Primary immunodeficiency	Primary immunodeficiency	Primary immunodeficiency		
								NOD-like receptor signaling pathway			NOD-like receptor signaling pathway	NOD-like receptor signaling pathway	NOD-like receptor signaling pathway		
								Necroptosis			Necroptosis	Necroptosis	Necroptosis		
								Cytosolic DNA-sensing pathway			Cytosolic DNA-sensing pathway	Measles	Cytosolic DNA-sensing pathway		
								ECM-receptor interaction			ECM-receptor interaction	Cytosolic DNA-sensing pathway	ECM-receptor interaction		
								Measles			Measles	ECM-receptor interaction	Measles		
								Hepatitis C			Hepatitis C	Natural killer cell mediated cytotoxicity	Hepatitis C		
								Natural killer cell mediated cytotoxicity			Natural killer cell mediated cytotoxicity	Hepatitis C	Natural killer cell mediated cytotoxicity		
								Protein digestion and absorption			Protein digestion and absorption	Protein digestion and absorption	Protein digestion and absorption		
								Glycosphingolipid biosynthesis - lacto and neolacto series			Glycosphingolipid biosynthesis - lacto and neolacto series	Glycosphingolipid biosynthesis - lacto and neolacto series	Glycosphingolipid biosynthesis - lacto and neolacto series		
								T cell receptor signaling pathway			T cell receptor signaling pathway	T cell receptor signaling pathway	T cell receptor signaling pathway		
											Staphylococcus aureus infection	Influenza A	Staphylococcus aureus infection		
													Hypertrophic cardiomyopathy		
													Influenza A		
													Dilated cardiomyopathy		
													Focal adhesion		
													Cell cycle		
													Calcium signaling pathway		
													Pantothenate and CoA biosynthesis		
													Type II diabetes mellitus		
													Ribosome		
													B cell receptor signaling pathway		
													Drug metabolism - cytochrome P450		
													Morphine addiction		
													Bile secretion		
													Rheumatoid arthritis		
													Ascorbate and aldarate metabolism		
													Gastric acid secretion		
													Transcriptional misregulation in cancer		
													Human cytomegalovirus infection		
													IL-17 signaling pathway		
													Pertussis		
													Platinum drug resistance		
													Epstein-Barr virus infection		
													Thyroid hormone synthesis		
													Adrenergic signaling in cardiomyocytes		
													Pancreatic secretion		
													Insulin secretion		
													PD-L1 expression and PD-1 checkpoint pathway in cancer		
													Metabolism of xenobiotics by cytochrome P450		
													Graft-versus-host disease		
													Hepatitis B		
													Intestinal immune network for IgA production		
													Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate		
													Chagas disease		
													Cardiac muscle contraction		
													Phenylalanine metabolism		
													Arginine and proline metabolism		
													cAMP signaling pathway		
													Ether lipid metabolism		
													Pentose and glucuronate interconversions		
													Apoptosis		
