Total_terms_MW	Total_terms_Limma	Intersection_All	Only_MW	Only_Limma	Intersection_top_20	Only_MW_top_20	Only_Limma_top_20	Terms_Intersect_top_20	Terms_Only_MW_top_20	Terms_Only_Limma_top_20	Terms_MW_top_20	Terms_Limma_top_20	Terms_Intersect_ALL	Terms_Only_MW	Terms_Only_Limma
59	39	34	25	5	13	7	7	Tight junction	Hepatitis C	Human cytomegalovirus infection	Tight junction	Tight junction	Tight junction	Spliceosome	Human cytomegalovirus infection
								DNA replication	Spliceosome	Renin secretion	Hepatitis C	Primary immunodeficiency	Hepatitis C	Amoebiasis	NF-kappa B signaling pathway
								IL-17 signaling pathway	Mineral absorption	Toll-like receptor signaling pathway	DNA replication	Proximal tubule bicarbonate reclamation	DNA replication	cAMP signaling pathway	Cholinergic synapse
								Proximal tubule bicarbonate reclamation	ECM-receptor interaction	Focal adhesion	IL-17 signaling pathway	Viral protein interaction with cytokine and cytokine receptor	IL-17 signaling pathway	Pathogenic Escherichia coli infection	B cell receptor signaling pathway
								Viral protein interaction with cytokine and cytokine receptor	Serotonergic synapse	Citrate cycle (TCA cycle)	Proximal tubule bicarbonate reclamation	Chemokine signaling pathway	Proximal tubule bicarbonate reclamation	TGF-beta signaling pathway	Intestinal immune network for IgA production
								Human papillomavirus infection	p53 signaling pathway	Protein digestion and absorption	Viral protein interaction with cytokine and cytokine receptor	Cytokine-cytokine receptor interaction	Viral protein interaction with cytokine and cytokine receptor	Hippo signaling pathway	
								Chemokine signaling pathway	African trypanosomiasis	Carbon metabolism	Human papillomavirus infection	DNA replication	Human papillomavirus infection	Ribosome	
								Cytokine-cytokine receptor interaction			Chemokine signaling pathway	IL-17 signaling pathway	Chemokine signaling pathway	Regulation of lipolysis in adipocytes	
								PI3K-Akt signaling pathway			Cytokine-cytokine receptor interaction	Starch and sucrose metabolism	Cytokine-cytokine receptor interaction	Neuroactive ligand-receptor interaction	
								Primary immunodeficiency			PI3K-Akt signaling pathway	Human cytomegalovirus infection	PI3K-Akt signaling pathway	Leukocyte transendothelial migration	
								PPAR signaling pathway			Spliceosome	PI3K-Akt signaling pathway	Primary immunodeficiency	Adipocytokine signaling pathway	
								Mucin type O-glycan biosynthesis			Primary immunodeficiency	PPAR signaling pathway	Mineral absorption	Colorectal cancer	
								Starch and sucrose metabolism			Mineral absorption	Renin secretion	ECM-receptor interaction	Ferroptosis	
											ECM-receptor interaction	Toll-like receptor signaling pathway	Serotonergic synapse	Bladder cancer	
											Serotonergic synapse	Focal adhesion	PPAR signaling pathway	Lysosome	
											PPAR signaling pathway	Human papillomavirus infection	p53 signaling pathway	Cell adhesion molecules	
											p53 signaling pathway	Mucin type O-glycan biosynthesis	Mucin type O-glycan biosynthesis	Thyroid cancer	
											Mucin type O-glycan biosynthesis	Citrate cycle (TCA cycle)	African trypanosomiasis	Glutathione metabolism	
											African trypanosomiasis	Protein digestion and absorption	Starch and sucrose metabolism	Necroptosis	
											Starch and sucrose metabolism	Carbon metabolism	Renin-angiotensin system	Complement and coagulation cascades	
													Renin secretion	Platinum drug resistance	
													Arrhythmogenic right ventricular cardiomyopathy	Prolactin signaling pathway	
													Focal adhesion	Inflammatory mediator regulation of TRP channels	
													Protein digestion and absorption	Small cell lung cancer	
													Fanconi anemia pathway	Hypertrophic cardiomyopathy	
													Pancreatic secretion		
													Glycosaminoglycan biosynthesis - heparan sulfate / heparin		
													Prostate cancer		
													Homologous recombination		
													Carbohydrate digestion and absorption		
													Carbon metabolism		
													Toll-like receptor signaling pathway		
													Citrate cycle (TCA cycle)		
													Collecting duct acid secretion		
