Gene	pv_race	pv_gender	pv_age	Residual
A1BG	0.240901189278494	0.480456438324212	0.368850902624144	266.163676712341
A2M	0.323847275025866	0.0219314527479859	0.229785973735288	216.62512903725
A2ML1	0.456735297211426	0.0759080310908878	0.00246294644292237	1193.37408890664
A4GALT	0.297407496208975	0.0417586317559591	0.514849215199502	270.52924517357
A4GNT	0.0237131546626788	0.957289445917817	0.318701313796016	157.378585800837
AAAS	0.166309466810511	0.508909063133679	0.513317780265017	32.4357093914232
AACS	0.908883067092117	0.685539990195462	0.262558405516049	68.3023102205644
AADAC	0.157926465107089	0.196161769499473	0.511758675842526	925.421969976339
AADAT	0.218578687241538	0.63618520663021	0.389913840483059	231.513216400146
AAED1	0.0496378518128007	0.603249625154161	0.315453557182845	70.4085382841453
AAGAB	0.802875405865405	0.457365256115488	0.816692889458136	35.0178472792497
AAK1	0.157282484517856	0.839676830599355	0.800095965984542	111.036177294364
AAMDC	0.505664806930145	0.0186700327025259	0.974219878346121	59.8204113973283
AAMP	0.545827632165627	0.322178354528975	0.376360797443209	26.6227442067193
AANAT	0.873598594027946	0.873632131981614	0.14989552992883	202.383030206741
AAR2	0.328646337607805	0.514868390815819	0.221193437557983	33.229505648333
AARD	0.379286028070647	0.73348292567675	0.0128981862136166	525.561649251567
AARS	0.253884736125179	0.22615325853583	0.02650762196379	56.6708479223701
AARS2	0.54090617278699	0.910554143407149	0.640839829882795	76.0967203590814
AARSD1	0.00780231080273205	0.0156110993415938	0.258928292341759	38.5813163603199
AASDH	0.857760953168477	0.457375621590945	0.665542004582126	70.5378198922169
AASDHPPT	0.710160685315354	0.697020446373312	0.654989786359194	40.9436530646703
AASS	0.670839817962453	0.886811282712147	0.360834506642082	224.725029519684
AATF	0.916683153037188	0.0252536224062754	0.389098540273319	36.4034583971935
AATK	0.0975739679808425	0.252837176600346	0.845255979529609	184.75152690555
ABAT	0.329258849373844	0.896339273720489	0.0340783916640729	199.636560445433
ABCA1	0.394890057000573	0.598740148449736	0.679019789696677	138.317522407961
ABCA2	0.868226530230764	0.865215763894075	0.591795562029914	145.528493757116
ABCA3	0.532445433587169	0.00836668986486955	0.592357674402023	678.714595569249
ABCA4	0.598689222756585	0.00447978417181663	0.693225816323433	1135.08592768098
ABCA5	0.0877259387142703	0.964109533081725	0.227818782009107	129.058737695269
ABCA6	0.0312031985155327	0.172417114538414	0.409800534524814	242.080466894222
ABCA7	0.313637211879544	0.699763563191856	0.864449790652451	161.385610686803
ABCA8	0.217911480910232	0.847372792418828	0.339991171317098	399.022449808517
ABCA9	0.233784994326001	0.233394745821585	0.254659228450853	221.66003860455
ABCA10	0.240702673662809	0.250592823317391	0.826505388844525	303.949859611989
ABCA12	0.0771013955327126	0.0180753894919548	0.0258074082474106	473.981473421936
ABCA13	0.404458957954652	0.247937233583215	0.284950998063257	778.07970798154
ABCB1	0.828183743929558	0.125557478860786	0.479913571373172	200.555742969832
ABCB4	0.59969912304431	0.156281889472585	0.0297395733511229	217.445757989229
ABCB5	0.389281887520886	0.558983220533933	0.907628498240437	174.955230363655
ABCB6	0.548777681990333	0.277531140539735	0.385629752019943	218.27265209517
ABCB7	0.72194294659829	0.622415641928504	0.526563252616665	24.5153208964024
ABCB8	0.395231338763801	0.58622293765853	0.538055434498121	54.241646974151
ABCB9	0.626274235198638	0.230593110436398	0.172564067435811	74.3553653496861
ABCB10	0.144304913426993	0.887380590063292	0.0238091543497987	43.5489383204511
ABCB11	0.197105829411155	0.655499804471053	0.60849104533925	135.467720845805
ABCC1	0.875583166709301	0.242239608973999	0.500982303558083	244.526423441078
ABCC2	0.332839058394485	0.016314643149149	0.0923300747149692	736.737237303692
ABCC3	0.0852585167230016	0.0513796996259944	0.744946720900477	389.55679097305
ABCC4	0.0734758703902761	0.183200492217489	0.611780997628119	126.503059373249
ABCC5	0.181366380176391	0.339298866944951	0.538437790831595	293.61028962635
ABCC6	0.510012037399178	0.289922103235147	0.193318325543455	236.472127469169
ABCC8	0.864675912871015	0.0260933165064783	0.0217081227299452	816.400670697357
ABCC9	0.254109510163401	0.397939645260961	0.423507893542575	253.712420194947
ABCC10	0.0315857089462314	0.678869631416947	0.634388611001833	72.6549547111555
ABCC11	0.59316152590285	0.789822906631632	0.121625797533437	133.439221391119
ABCC12	0.471268910503908	0.041418959788502	0.107640983185786	99.044682928243
ABCD1	0.668145975933652	0.00352205210253207	0.258917646287558	69.1266778520175
ABCD2	0.0724149185554906	0.00675463231529961	0.528012614170142	196.375252599596
ABCD3	0.259034806364426	0.169692626975234	0.0811892422951413	55.3522310870787
ABCD4	0.443149859229669	0.875833764384752	0.848771285061715	56.8333900338311
ABCE1	0.262870285181567	0.627841117076547	0.694535665947332	37.6475603593218
ABCF1	0.63736402399467	0.830758462389154	0.367713449914443	39.1263940993317
ABCF2	0.330329168131096	0.654668536284401	0.42257248879969	42.9228482765884
ABCF3	0.699865242927861	0.364615786249352	0.092181272245827	59.1102596222289
ABCG1	0.721436610722503	0.0431087048138092	0.0868638905988537	142.505412629078
ABCG2	0.0489404536386305	0.982254759119433	0.849196090326491	342.727985123725
ABCG4	0.411220846081336	0.855727343847526	0.268693959479258	150.827141640075
ABHD1	0.175192605119566	0.087611915627859	0.376062018033181	318.42131475848
ABHD2	0.940216596806464	0.178861222625508	0.629322420228369	161.003151690542
ABHD3	0.214144023346986	0.238227189357123	0.0364050438397978	110.757714742342
ABHD4	0.965400805819144	0.566531883675191	0.202007725518599	111.735976008486
ABHD5	0.255218065247715	0.281068487643999	0.286426166267478	48.7589435670248
ABHD6	0.833646263430162	0.908103194477238	0.364179883849784	117.56304645128
ABHD8	0.632043983042672	0.577802908106423	0.206156781884706	76.4469336157517
ABHD10	0.873139095314125	0.399013899943776	0.888904497205089	62.1963417028304
ABHD11	0.807603652359356	0.86628276786827	0.782445015545689	80.0990798722346
ABHD12	0.655099286852042	0.902057396091555	0.739879297346598	38.7077281648514
ABHD12B	0.698628280399309	0.730436618506751	0.468301468159683	696.060450884896
ABHD13	0.9681893870484	0.880422298473771	0.756756939412813	45.0487177166197
ABHD14A	0.50363591158843	0.884823790098474	0.582237772433865	51.4686055685454
ABHD14A-ACY1	0.282813423344793	0.0588484599184623	0.481605122740881	145.024310721243
