Name	Mean(log(prostate_black))	Mean(log(prostate_white))	logFC	M-W U test pval	Adj pval
GSTT1	7.804635492750688	10.013371541455902	-2.208736048705214	0.17551716577106702	0.6209243634465176
AL354718.1	2.9907767887196646	4.919544694967912	-1.9287679062482472	0.08991088811188419	0.5198276489821063
RGPD1	1.663043385296994	3.4940318199317626	-1.8309884346347687	3.339751159020521E-4	0.1583768730029917
RP11-481A20.11	3.1423324033914137	4.802126697223834	-1.65979429383242	0.0036719217943932403	0.23892238020500645
PTPN20B	2.2969631844111786	3.9477499507668377	-1.650786766355659	0.0024013459096853262	0.23133498082343953
RP11-298I3.5	3.9814886037209396	5.527427906895041	-1.5459393031741016	0.005276462031292617	0.25750501639260215
NPIPA2	2.8715026432542397	4.364007829856522	-1.4925051866022825	0.0045138114353846515	0.24865619768008274
RGPD2	3.0237200672285587	4.473312169508198	-1.449592102279639	3.276082226638666E-4	0.1583768730029917
ASB12	1.523907329217089	2.9599009085612233	-1.4359935793441343	0.0011090868337237936	0.20283538167562284
TIMM23B	6.649994767266832	8.023259902555274	-1.3732651352884426	0.2246708556870184	0.6642379259370095
CST2	3.2056184930235996	4.562447717722886	-1.3568292246992866	0.04920564429478069	0.45009201099776297
AC104532.2	1.7461641623756705	3.08956063423779	-1.3433964718621194	0.06630530837604065	0.48033105654115044
SEMG1	6.444594098598191	7.7679866777247994	-1.3233925791266081	0.09279868315110751	0.5248552003434297
CCDC144A	1.7446929337784272	3.0648320463214356	-1.3201391125430084	0.005699860647726096	0.2622224553083903
SEMG2	5.094625277376023	6.399335021320943	-1.3047097439449198	0.08167933489449797	0.5056234014611138
FTCD	3.9243765387637852	5.2238358191117635	-1.2994592803479783	0.0034432190496603843	0.2375769481397835
FAM21B	4.532617057779122	5.831858401092212	-1.2992413433130903	0.036417099474779446	0.41686248625687194
PSG4	1.1738544501607804	2.432853879708786	-1.2589994295480056	0.02944070293128187	0.39775525354933633
ACTN2	4.156519904784658	5.414489043582777	-1.257969138798119	0.09777669633018937	0.5318725189860839
C19orf81	3.5368124775398204	4.781013056681895	-1.244200579142075	0.05037443028650235	0.4519306031417639
POC1B-GALNT4	1.7377628998202495	2.974285875580312	-1.2365229757600624	0.011947276712869659	0.3153388456446119
PRSS21	5.322232693472502	6.55269382720921	-1.230461133736708	0.024272076635412088	0.3810716031759698
FAM163B	0.8929025562353553	2.112771492490412	-1.2198689362550565	0.02072245520726268	0.36876415424989994
CKM	6.543742494247078	7.755949538093115	-1.2122070438460373	0.17712183861812136	0.6232115388163111
KCNC2	3.7539879963234433	4.959433295520029	-1.2054452991965854	0.11059583456438526	0.5522816942930037
DNAJC25-GNG10	3.911673178967855	5.098383535211832	-1.1867103562439771	0.2115470143482494	0.6563363245843813
SMN2	7.376269682435734	8.562245144873629	-1.1859754624378942	0.06856096510470588	0.48265647332311695
RHOXF1	1.7478545832118675	2.9250485176369834	-1.1771939344251159	0.004171237758636814	0.24744815003352985
SLC39A4	8.286164049400357	9.442359142641145	-1.1561950932407878	0.019123871542933157	0.35430717043733334
WFDC12	2.436159833814096	3.5833711534910306	-1.1472113196769347	0.25472780099219217	0.6880899898649961
BEGAIN	4.912351231006327	6.0506822080855835	-1.1383309770792565	3.190956696963454E-5	0.13381840545481516
SPESP1	5.129220054197723	6.266185061234987	-1.136965007037264	0.12105405454620677	0.5671820019026287
AC002398.9	3.3730977826782924	4.506030520555704	-1.1329327378774119	0.29899374024061764	0.7187531675372398
AC112715.2	0.989896590458899	2.1171088795595634	-1.1272122891006644	0.01739601696418258	0.3477675751390704
WFDC3	4.416166674228489	5.538191808650916	-1.1220251344224277	0.030969438957603734	0.4022934538487013
AC131097.4	5.568662950924459	6.685291752700287	-1.1166288017758284	0.1645868991193017	0.6122256141259645
AC022400.2	1.6614653765736185	2.7736119133941775	-1.112146536820559	0.0090799909294631	0.29011367510067015
SYCE1	3.6463979885824065	4.757711276960982	-1.1113132883785752	0.1820014094722513	0.6283620226177518
SERHL2	6.903076826528401	8.012026961994593	-1.1089501354661921	0.0025239835795766163	0.23133498082343953
GNB3	4.529184678870298	5.631345886349512	-1.102161207479214	0.001128874681868064	0.20283538167562284
NPIPA3	5.013924417870954	6.1158516185769605	-1.1019272007060064	0.001169433070280057	0.20283538167562284
PCDHA7	1.0307535556645042	2.1300695205142897	-1.0993159648497854	0.0033337993968537427	0.23624573780350336
C1orf95	4.935329302706058	6.032920379078597	-1.097591076372539	0.007268445373608712	0.2798581969221181
PDE11A	5.2608078718961275	6.358080643238422	-1.0972727713422943	0.043697699003799384	0.43487567992196413
AC103801.2	4.769234991737573	5.866410219309125	-1.0971752275715518	0.9121064766649007	0.9778245322004459
CLC	0.4131147791171334	1.5075424153901	-1.0944276362729666	0.04749518839257749	0.4424462255783229
OXCT2	4.100089299774057	5.191142822072919	-1.0910535222988624	5.263090606185683E-4	0.1583768730029917
AQP2	2.694650221401653	3.7785155046093193	-1.0838652832076665	0.16611620301472596	0.6146502009963815
NANOS3	3.2930656155124893	4.374634768234186	-1.0815691527216966	0.006248237229108833	0.26837947268049545
PCDHB8	2.0232227889593415	3.1000683113345384	-1.076845522375197	0.025237823781834923	0.38430706247054985
GDF1	1.30500680816401	2.3803672790868564	-1.0753604709228464	0.0020654266047246406	0.22635656663721987
AC104534.3	0.6231431273238743	1.6822419509857915	-1.0590988236619172	0.037323771872268985	0.41778766646451304
AL589739.1	1.3137126061073532	2.3711624507867866	-1.0574498446794334	0.009349770352485964	0.2925739135042515
SELE	6.45682989134818	7.507307678469027	-1.0504777871208466	0.12718984892509977	0.5740722499687527
RP11-724O16.1	0.40216142086736006	1.4475423294511582	-1.0453809085837982	0.06780217305308767	0.4819723558324874
MADCAM1	2.08306790453799	3.125828010143068	-1.042760105605078	0.0034991458357014338	0.2375769481397835
ADAMTS4	4.862293408385501	5.89696765216066	-1.034674243775159	0.09879745453867772	0.5339166890381004
LY6K	5.01071396924121	6.040865254972031	-1.0301512857308213	0.18866167484246343	0.632880166187317
ATAD3C	6.653041862930641	7.676178832672758	-1.0231369697421169	0.0014676419981125566	0.2091948035437118
LCN15	2.4774796095109157	3.500209743930423	-1.0227301344195072	0.08256262349647647	0.5074689500903913
SLC26A10	4.560714516715786	5.581903128226756	-1.0211886115109703	0.015806608259651522	0.3370842501461048
STX16-NPEPL1	3.8092425478309884	4.8296096025369994	-1.020367054706011	0.008189655762041781	0.2850766513531986
RP11-1055B8.6	3.053686073849917	4.071540366198231	-1.0178542923483134	4.23689879568423E-5	0.13381840545481516
SOX17	5.144580761271774	6.158420735306387	-1.013839974034613	0.0029270693845355744	0.23133498082343953
ZNF749	6.229992597156202	7.240782520273452	-1.0107899231172501	0.002696414018286797	0.23133498082343953
PNMA6C	2.634589388310064	3.6446328828461922	-1.010043494536128	0.20609548650143816	0.650391786547252
APOC4-APOC2	1.0731625839095256	2.082032749256958	-1.0088701653474326	0.10191084237870618	0.5370371126738995
VTN	3.5201183245573353	4.524413197715981	-1.004294873158646	0.018119015755399093	0.3503009712710491
AC007952.6	1.989203893651877	2.990178261913118	-1.000974368261241	0.005788130190751861	0.2622224553083903
RP11-231C14.4	6.415413979890811	7.410900331366678	-0.9954863514758667	0.006741013106653981	0.27712715733269144
F8A1	7.993854593252012	8.987190134547188	-0.9933355412951759	0.0011489884759487978	0.20283538167562284
SOX14	2.3023470683364895	3.2911551767363165	-0.988808108399827	0.1541772986294352	0.6055374083759486
CXCR5	2.279326433585166	3.259497607239166	-0.980171173654	0.0852590322954071	0.5119477402452866
UTS2B	1.746142114062835	2.7195672715502615	-0.9734251574874264	0.02303434916499436	0.3752250151993536
EPB41L4A-AS2	4.233752662095781	5.204358883837998	-0.9706062217422176	0.0025239835795766163	0.23133498082343953
BIRC7	0.469542924215654	1.4360750726017966	-0.9665321483861425	5.362190390192367E-4	0.1583768730029917
HLA-DRB5	8.65615883357362	9.61247300965715	-0.956314176083529	0.049787161230141375	0.4519306031417639
C6orf52	4.679257697696001	5.632144442434322	-0.9528867447383211	0.05217117046098496	0.456579219815213
STAB2	1.5953984577594622	2.5468963266830515	-0.9514978689235893	0.036417099474779446	0.41686248625687194
ATP1A4	3.3448365144566714	4.294668206488194	-0.9498316920315228	0.022142381828066715	0.3703003286067502
ZFP57	2.3472050272992724	3.2930993884702495	-0.9458943611709771	0.10296582410466693	0.5390093672302944
XKR9	2.8477074954514254	3.7934938094893864	-0.945786314037961	0.022142381828066715	0.3703003286067502
KREMEN2	3.548423141732793	4.49369940868108	-0.9452762669482873	0.03824958773370768	0.4181281463423075
OGDHL	5.227020322364586	6.169407982609018	-0.9423876602444317	0.030969438957603734	0.4022934538487013
ART5	3.684016955771095	4.6211010642754635	-0.9370841085043686	0.0023226440486819877	0.23133498082343953
NPAS4	2.6269373397084688	3.558767688601305	-0.9318303488928361	0.0031755988480117736	0.2323329680392357
PRSS53	3.9058031401671394	4.8365174957217585	-0.9307143555546191	0.016247148109967524	0.3416778999754371
PCSK9	1.3717366970693445	2.296429129068486	-0.9246924319991414	0.0034991458357014338	0.2375769481397835
HMSD	1.355434526649792	2.278486005882067	-0.9230514792322748	0.009910874086115906	0.29589645714154567
PRRT2	6.196120754163677	7.1152639489793055	-0.9191431948156286	0.008817182850795358	0.28829180265473076
CCL15-CCL14	5.537749844773038	6.454766412348146	-0.9170165675751081	0.14427578224356274	0.5929926757435714
PLIN5	6.462339253246172	7.37450015399081	-0.9121609007446381	0.01716070389185309	0.3476426465833465
